TransactionDate,Representative,BioGuideID,ReportDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
2016-10-03,SHELDON WHITEHOUSE,W000802,2016-11-07,ASIX,EXCHANGE,8000.5,SENATE,1001.0,D,2023-08-28
2016-10-04,LOIS FRANKEL,F000462,2016-10-21,GLD,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-06,LOIS FRANKEL,F000462,2016-10-21,GMED,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-06,JOHN F. REED,R000122,2016-10-17,IYT,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-10-06,DAVID E. PRICE,P000523,2016-11-23,VSM,EXCHANGE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,PXD,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,CB,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,ALAN S. LOWENTHAL,L000579,2016-10-15,CHTR,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,GE,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,NVO,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,GSK,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,AAPL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,V,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,DFS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,SBUX,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,D,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,BLK,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,NKE,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,CHL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,UNH,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,CHKP,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,ORCL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,MSFT,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,JPM,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,HD,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,WM,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,AMGN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,CCE,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-11,KATHERINE M. CLARK,C001101,2017-05-25,MET,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-12,LOIS FRANKEL,F000462,2016-10-21,COTY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-12,LOIS FRANKEL,F000462,2016-10-21,GIS,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-12,LOIS FRANKEL,F000462,2016-10-21,BEN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-12,LOIS FRANKEL,F000462,2016-10-21,TGT,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-12,ZOE LOFGREN,L000397,2016-10-24,SCTY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-13,DAVID E. PRICE,P000523,2016-11-22,TMO,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-14,ALAN S. LOWENTHAL,L000579,2016-10-15,VRSK,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-14,ALAN S. LOWENTHAL,L000579,2016-10-15,CELG,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-14,ALAN S. LOWENTHAL,L000579,2016-10-15,XRAY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-17,GARY PETERS,P000595,2016-11-08,CVS,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-10-19,LOIS FRANKEL,F000462,2016-11-18,ENH,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-19,LOIS FRANKEL,F000462,2016-11-18,COTY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-24,DEBBIE DINGELL,D000624,2016-11-02,GE,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-26,SHELDON WHITEHOUSE,W000802,2016-11-07,HAS,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-10-26,SHELDON WHITEHOUSE,W000802,2016-11-07,MCK,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-10-26,SHELDON WHITEHOUSE,W000802,2016-11-07,MA,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-10-26,SHELDON WHITEHOUSE,W000802,2016-11-07,DEO,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-10-26,SHELDON WHITEHOUSE,W000802,2016-11-07,DIS,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-10-26,SHELDON WHITEHOUSE,W000802,2016-11-07,BRK.B,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-10-26,SHELDON WHITEHOUSE,W000802,2016-11-07,CB,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-10-26,SHELDON WHITEHOUSE,W000802,2016-11-07,HSBC,SALE (FULL),8000.5,SENATE,1001.0,D,2023-08-28
2016-10-26,ALAN S. LOWENTHAL,L000579,2016-11-05,UPS,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-10-26,SHELDON WHITEHOUSE,W000802,2016-11-07,IBM,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
