Representative,BioGuideID,TransactionDate,Ticker,Transaction,Range,House,Amount,Party
Susie Lee,L000590,2020-10-19,ROP,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-19,LITE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-19,XYL,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-19,LW,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-19,RXT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-19,VRT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-19,WSC,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Alan S. Lowenthal,L000579,2020-10-19,OLED,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-19,DRE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Gilbert Cisneros,C001123,2020-10-19,PRAA,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Alan S. Lowenthal,L000579,2020-10-19,OLED,Sale,$192.29,Representatives,192.29,D
Susie Lee,L000590,2020-10-19,DPZ,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-19,APTV,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2020-10-19,PSX,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-19,TDY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-19,LDOS,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-19,KMX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-19,FTV,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Susie Lee,L000590,2020-10-19,STZ,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Gilbert Cisneros,C001123,2020-10-19,BOOT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
